No.,H1,H2,State,Location,City,Quick Description,Special Case,Country,Zip Code,Lineal Feet,Inch Feet,Cost,Notes,SQ FT,Width,x,y,Length,Replace,Curb,Bottom HC,Gutter Pan,Catch Basin,SW2C,C2B,Asphalt,Driveway,Leadwalk,Missed,Quality,Accuracy,Date,Image1,Image Link1,Image Time Stamp1,Image2,Image Link2,Image Time Stamp2
23,8,0,NC,305 E Bv,Charlotte,Large,SW2C,US,28203, , , ,Leadwalk to curb,56,7,35.21060055,-80.85599619,8, , , , , ,YES, , , , , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_23_1.png,23:52.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_23_2.png,23:57.0
236,8,0,NC,1231 E Bv,Charlotte,Large,Driveway,US,28203, , , ,Length is approximate as I walked it out while avoiding cars,186,6,35.20297235,-80.84587672,31, , , , , , , , ,YES, , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_236_1.png,49:38.0,,,
388,8,0,NC,615 E Bv,Charlotte,Large, ,US,28203, , , , ,30,6,35.20743478,-80.85218349,5, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_388_1.png,05:56.0,,,
389,8,0,NC,615 E Bv,Charlotte,Large, ,US,28203, , , ,Recut,30,6,35.20745511,-80.85217686,5, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_389_1.png,06:15.0,,,
411,8,0,NC,220 E Bv,Charlotte,Large, ,US,28203, , , , ,30,6,35.2110645,-80.85697681,5, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_411_1.png,28:59.0,,,
2,5,0,NC,209 E Bv,Charlotte,Medium,,US,28203, , , , ,30,6,35.2116197,-80.85730052,5, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_2_1.png,12:38.0,,,
3,5,0,NC,209 E Bv,Charlotte,Medium,,US,28203, , , , ,30,6,35.21157001,-80.85726871,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
4,5,0,NC,209 E Bv,Charlotte,Medium,Driveway,US,28203, , , , ,42,6,35.21157628,-80.85724337,7, , , , , , , , ,YES, , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_4_1.png,12:55.0,,,
5,5,0,NC,209 E Bv,Charlotte,Medium,,US,28203, , , , ,30,6,35.21154039,-80.85721926,5, , , , , , , , , , , , ,1,12/1/2022,,,,,,
7,5,0,NC,209 E Bv,Charlotte,Medium,SW2C,US,28203, , , ,Leadwalk to curb,56,7,35.2114396,-80.85715455,8, , , , , ,YES, , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_7_1.png,14:52.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_7_2.png,15:05.0
10,5,0,NC,209 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21137676,-80.85703805,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
12,5,0,NC,209 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21135707,-80.85697635,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
14,5,0,NC,223 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21129185,-80.85688705,5, , , , , , , , , , , , ,1,12/1/2022,,,,,,
15,5,0,NC,223 E Bv,Charlotte,Medium, ,US,28203, , , , ,36,6,35.21125012,-80.85679124,6, , , , , , , , , , , , ,1,12/1/2022,,,,,,
17,5,0,NC,227 E Bv,Charlotte,Medium,,US,28203, , , , ,36,6,35.21113871,-80.85664451,6, , , , , , , , , , , , ,1,12/2/2022,,,,,,
18,5,0,NC,227 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21103581,-80.8565322,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
19,5,0,NC,227 E Bv,Charlotte,Medium, ,US,28203, , , , ,36,6,35.21100421,-80.8565083,6, , , , , , , , , , , , ,1,12/2/2022,,,,,,
22,5,0,NC,305 E Bv,Charlotte,Medium, ,US,28203, , , , ,36,6,35.21071108,-80.85615957,6, , , , , , , , , , , , ,1,12/2/2022,,,,,,
24,5,0,NC,305 E Bv,Charlotte,Medium, ,US,28203, , , , ,56,7,35.21060652,-80.85600295,8, , , , , , , , , , , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_24_1.png,24:08.0,,,
